Price,Condo,Size,Rooms,Toilets,Suites,Parking,Elevator,Furnished,Swimming Pool,New,District,Negotiation Type,Property Type,Latitude,Longitude
2540000,1900,220,3,5,3,4,1,0,1,0,Campo Belo/São Paulo,sale,apartment,-23.626099,-46.674
2540000,1999,350,3,2,1,2,0,1,0,0,Bela Vista/São Paulo,sale,apartment,-23.5626119,-46.6530421
2500000,1355,390,3,3,1,2,0,0,0,0,Bela Vista/São Paulo,sale,apartment,-23.562611,-46.653042
2500000,3800,227,4,6,3,4,0,0,1,0,Campo Belo/São Paulo,sale,apartment,-23.627026,-46.672769
2500000,1800,350,3,1,0,2,0,0,0,0,República/São Paulo,sale,apartment,-23.5446487,-46.6431909
2500000,2000,220,4,4,3,4,0,0,1,0,Moema/São Paulo,sale,apartment,-23.6038428,-46.6705131
2470000,1353,159,3,4,3,2,0,0,0,0,Jardim Paulista/São Paulo,sale,apartment,-23.5660441,-46.6598315
2450000,1452,221,3,4,3,4,1,1,1,0,Mooca/São Paulo,sale,apartment,-23.550987,-46.590908
2450000,3384,226,4,4,3,3,0,0,1,0,Perdizes/São Paulo,sale,apartment,-23.539317,-46.681355
2450000,1800,162,2,5,2,3,1,1,1,0,Brooklin/São Paulo,sale,apartment,-23.612108,-46.681819
2449400,0,250,4,5,4,4,1,0,1,0,Santo Amaro/São Paulo,sale,apartment,-23.626415,-46.696833
2424900,0,264,3,5,3,3,1,0,1,0,Butantã/São Paulo,sale,apartment,-23.574265,-46.709556
2420000,1850,266,4,4,2,4,1,0,0,0,Anhanguera/São Paulo,sale,apartment,-23.670116,-46.696669
2400000,1600,138,3,5,3,2,1,0,1,0,Vila Olimpia/São Paulo,sale,apartment,-23.594329,-46.688316
2400000,1580,178,3,4,3,3,1,0,1,0,Brooklin/São Paulo,sale,apartment,0,0
2400000,2850,198,4,4,3,1,0,0,1,0,Brooklin/São Paulo,sale,apartment,-23.6112939,-46.6801293
2400000,2900,395,3,2,1,1,0,0,0,0,República/São Paulo,sale,apartment,-23.5462519,-46.6432651
2350000,1625,178,2,3,2,3,1,0,1,0,Brooklin/São Paulo,sale,apartment,0,0
2325000,3100,175,3,5,2,3,1,1,1,0,Moema/São Paulo,sale,apartment,-23.599256,-46.664985
2300000,2400,100,2,3,2,2,0,1,1,0,Itaim Bibi/São Paulo,sale,apartment,-23.5889891,-46.6833894
2300000,1600,160,3,4,3,3,0,0,0,0,Moema/São Paulo,sale,apartment,0,0
2300000,1792,100,2,3,2,2,1,0,1,0,Itaim Bibi/São Paulo,sale,apartment,-23.58384,-46.68538
2300000,0,393,3,2,1,1,0,0,0,0,República/São Paulo,sale,apartment,-23.5462519,-46.6432651
2300000,0,393,3,4,0,1,0,0,0,0,República/São Paulo,sale,apartment,-23.544085,-46.6425002
2298000,1900,266,4,5,3,4,1,1,1,0,Anhanguera/São Paulo,sale,apartment,-23.670116,-46.696669
2292000,2262,208,3,4,3,3,1,0,1,0,Vila Mariana/São Paulo,sale,apartment,-23.575289,-46.634201
2250000,0,185,3,4,3,3,0,0,1,0,Campo Belo/São Paulo,sale,apartment,-23.6227,-46.676516
2239000,1490,167,3,4,3,3,0,0,1,0,Brooklin/São Paulo,sale,apartment,-23.6119465,-46.6914314
2230514,0,163,3,5,3,2,1,0,1,0,Vila Mariana/São Paulo,sale,apartment,-23.579318,-46.644378
2200000,1582,235,3,3,1,1,1,0,0,0,Consolação/São Paulo,sale,apartment,-23.552568,-46.655659
2200000,1400,210,3,5,3,3,1,0,1,0,Vila Leopoldina/São Paulo,sale,apartment,-23.533022,-46.731577
2200000,3300,205,3,2,1,3,1,0,1,0,Alto de Pinheiros/São Paulo,sale,apartment,-23.5522763,-46.7199012
2200000,3300,180,3,2,1,3,0,0,1,0,Alto de Pinheiros/São Paulo,sale,apartment,-23.5522763,-46.7199012
2200000,0,194,3,4,3,2,0,0,1,0,Alto de Pinheiros/São Paulo,sale,apartment,-23.5601585,-46.7002101
2200000,3400,315,4,5,4,4,0,0,1,0,Brooklin/São Paulo,sale,apartment,-23.610753,-46.6811536
2200000,0,221,4,5,4,4,0,0,0,0,Belém/São Paulo,sale,apartment,-23.550987,-46.590908
2200000,2500,161,4,5,3,4,1,0,1,0,Moema/São Paulo,sale,apartment,-23.600428,-46.670837
2200000,3000,180,3,2,1,3,1,0,1,0,Alto de Pinheiros/São Paulo,sale,apartment,-23.552358,-46.719949
2200000,2900,386,5,5,2,5,0,0,1,0,Santana/São Paulo,sale,apartment,0,0
2199000,2882,200,4,4,3,3,1,1,1,0,Vila Mariana/São Paulo,sale,apartment,-23.57821,-46.638708
2190000,2200,156,3,5,3,2,0,0,0,0,Sé/São Paulo,sale,apartment,-23.564237,-46.66086
2180000,1500,221,4,4,3,4,1,0,1,0,Mooca/São Paulo,sale,apartment,-23.5509876,-46.5909082
2160000,1700,155,3,3,2,2,0,0,0,0,Jardim Paulista/São Paulo,sale,apartment,-23.569425,-46.6540898
2150000,1580,178,3,4,3,3,0,0,1,0,Brooklin/São Paulo,sale,apartment,0,0
2150000,1100,127,3,2,1,2,1,0,1,0,Moema/São Paulo,sale,apartment,-23.6043222,-46.6607536
2150000,2250,339,4,3,1,1,1,0,0,0,Santa Cecília/São Paulo,sale,apartment,-23.539872,-46.658069
2149000,1100,158,3,4,3,3,1,0,1,0,Moema/São Paulo,sale,apartment,-23.61036806,-46.66332229
2130000,2700,130,3,2,1,1,0,0,1,0,Itaim Bibi/São Paulo,sale,apartment,-23.5878939,-46.6779866
2125000,1850,266,4,5,4,4,0,0,0,0,Anhanguera/São Paulo,sale,apartment,-23.670116,-46.696669
2120000,1981,114,2,2,1,2,0,0,1,0,Moema/São Paulo,sale,apartment,-23.5997553,-46.6697419
2109500,3400,315,4,6,4,4,0,0,1,0,Brooklin/São Paulo,sale,apartment,-23.610753,-46.6811536
2105860,0,149,4,1,3,2,1,0,1,0,Vila Madalena/São Paulo,sale,apartment,-23.548473,-46.693005
2100000,0,148,3,4,3,2,0,0,1,0,Brooklin/São Paulo,sale,apartment,-23.6025998,-46.6946954
2100000,2500,168,4,4,2,1,0,0,1,0,Jardim Paulista/São Paulo,sale,apartment,-23.569996,-46.658896
2100000,2443,266,4,5,4,4,1,0,1,0,Anhanguera/São Paulo,sale,apartment,-23.670116,-46.696669
2100000,2200,280,2,2,1,1,0,1,0,0,Bela Vista/São Paulo,sale,apartment,-23.5602215,-46.654251
2100000,1525,155,4,3,2,3,0,0,1,0,Santa Cecília/São Paulo,sale,apartment,-23.5366718,-46.6550725
2100000,2434,255,3,2,1,2,0,0,0,0,Santa Cecília/São Paulo,sale,apartment,-23.5362287,-46.6585233
2100000,1800,157,4,5,2,2,0,0,1,0,Perdizes/São Paulo,sale,apartment,0,0
2080000,1280,91,1,2,1,2,0,0,1,0,Itaim Bibi/São Paulo,sale,apartment,-23.587814,-46.674241
2080000,1100,225,3,4,3,4,0,1,1,0,Tatuapé/São Paulo,sale,apartment,0,0
2067000,1000,125,3,2,1,2,0,0,1,0,Moema/São Paulo,sale,apartment,-23.6028399,-46.667372
2060200,0,149,4,5,0,2,1,0,1,1,Alto de Pinheiros/São Paulo,sale,apartment,-23.547407,-46.692617
2050000,0,169,3,4,2,2,0,0,1,0,Brooklin/São Paulo,sale,apartment,-23.626047,-46.685233
2048880,1502,85,1,2,1,2,1,0,1,0,Itaim Bibi/São Paulo,sale,apartment,-23.582795,-46.671438
2000000,2294,163,4,3,2,3,1,0,1,0,Alto de Pinheiros/São Paulo,sale,apartment,-23.539216,-46.713773
2000000,4370,140,3,2,1,2,0,0,1,0,Consolação/São Paulo,sale,apartment,-23.5484865,-46.661128
2000000,1100,177,3,2,1,1,1,1,0,0,República/São Paulo,sale,apartment,-23.5474029,-46.6429158
2000000,2050,163,3,2,1,1,1,1,0,0,Jardim Paulista/São Paulo,sale,apartment,-23.5673863,-46.6535498
2000000,3300,205,3,2,1,3,1,0,1,0,Alto de Pinheiros/São Paulo,sale,apartment,-23.5522763,-46.7199012
2000000,2298,220,3,4,3,3,1,1,1,0,Perdizes/São Paulo,sale,apartment,-23.535425,-46.6645452
2000000,1900,91,2,3,2,2,1,0,1,0,Itaim Bibi/São Paulo,sale,apartment,-23.588318,-46.67955
1999900,0,163,3,5,3,2,1,0,1,0,Vila Mariana/São Paulo,sale,apartment,-23.595807,-46.640873
1990000,2400,164,4,5,2,3,1,1,1,0,Vila Madalena/São Paulo,sale,apartment,-23.551613,-46.699106
1990000,1500,160,4,5,2,3,1,0,1,0,Moema/São Paulo,sale,apartment,-23.612779,-46.660604
1990000,1533,234,4,5,3,3,1,0,1,0,Jaguaré/São Paulo,sale,apartment,-23.55538,-46.737744
1982000,1800,160,4,4,3,2,1,0,0,1,Pinheiros/São Paulo,sale,apartment,-23.5508552,-46.6800049
1982000,1800,160,4,4,3,2,1,0,0,1,Pinheiros/São Paulo,sale,apartment,-23.5508552,-46.6800049
1982000,1800,160,4,4,3,2,1,0,0,1,Pinheiros/São Paulo,sale,apartment,-23.5508552,-46.6800049
